,townstate,poverty,med_income,hs_completion,n_households,population,density,crime_rate,property_crime,violent_crime,students_per_teacher,gini,lat,lng,unemployment_rate,home_price,crime_rate_pc,vcrime_rate_pc,pcrime_rate_pc,people_per_household,state
51,"Alcester, South Dakota",10.0,49655.0,81.3,800,1581,5.1,13.0,8.0,5.0,13.333333333333336,0.4613498953178414,42.98447,-96.63973,4.587610195477113,141625.0,0.008222643896268185,0.0031625553447185324,0.005060088551549652,1.97625,South Dakota
52,"Alcoa, Tennessee",19.1,43028.0,86.9,3081,7714,248.5,608.0,531.0,77.0,14.333333333333336,0.4308,35.79417,-83.9846,4.0,141072.0,0.07881773399014778,0.009981851179673321,0.06883588281047447,2.503732554365466,Tennessee
53,"Alderson, West Virginia",23.8,37113.0,90.6,1943,5200,15.1,19.0,18.0,1.0,11.0,0.4613498953178414,37.73709,-80.66095,4.587610195477113,92042.0,0.003653846153846154,0.0001923076923076923,0.0034615384615384616,2.676273803396809,West Virginia
54,"Aledo, Illinois",10.4,49433.0,93.2,2273,5213,14.5,37.0,37.0,0.0,13.666666666666664,0.4613498953178414,41.20973,-90.72473000000001,4.587610195477113,85509.0,0.007097640514099367,0.0,0.007097640514099367,2.293444786625605,Illinois
55,"Alexander City, Alabama",27.6,36795.0,81.0,8142,20625,36.9,934.0,657.0,277.0,15.2,0.4613498953178414,32.91644,-85.9368,4.587610195477113,102401.0,0.04528484848484848,0.01343030303030303,0.031854545454545455,2.5331613854089903,Alabama
56,"Alexander, Arkansas",22.4,56367.0,80.7,5887,17343,94.9,79.0,60.0,19.0,14.666666666666664,0.5151,34.66296,-92.52895,4.2,155943.0,0.004555151934498069,0.0010955428703223202,0.0034596090641757483,2.9459826736877868,Arkansas
57,"Alexandria, Indiana",23.6,51486.0,82.3,4171,9948,54.7,123.0,118.0,5.0,21.0,0.4285,40.25053,-85.6588,3.3,93148.0,0.012364294330518697,0.0005026135906714917,0.011861680739847206,2.3850395588587867,Indiana
58,"Alexandria, Kentucky",8.9,74619.0,93.0,6096,17398,123.9,143.0,139.0,4.0,15.5,0.4636,38.91491,-84.40265,3.6,195176.0,0.008219335555811013,0.00022991148407862974,0.007989424071732382,2.854002624671916,Kentucky
59,"Alexandria, Minnesota",11.8,57755.0,92.9,11216,25080,59.5,377.0,351.0,26.0,16.625,0.4613498953178414,45.87903,-95.38672,4.587610195477113,227053.0,0.01503189792663477,0.001036682615629984,0.013995215311004785,2.2360912981455066,Minnesota
60,"Algoma, Wisconsin",15.3,47152.0,91.4,2199,5188,27.6,38.0,29.0,9.0,13.5,0.4613498953178414,44.62083,-87.49345,4.587610195477113,116908.0,0.007324595219737857,0.0017347725520431765,0.00558982266769468,2.359254206457481,Wisconsin
61,"Algona, Iowa",5.7,58113.0,94.4,3293,6975,22.2,56.0,39.0,17.0,15.4,0.4613498953178414,43.0739,-94.22017,4.587610195477113,124581.0,0.008028673835125448,0.0024372759856630824,0.005591397849462366,2.1181293653203768,Iowa
